Randomizer Version: 4.1.0
Random Seed: 240989149044460
Settings String: 314WQMBDgLuAfEB9AGSAAIeIQgBagYANABAAR8aEgAAAAAABAKIMgQywYsICTIGBgAyE1Bva2Vtb24gQmxhY2sgMiAoVSmlUnh848M4ig==

--Randomized Evolutions--
Bulbasaur       -> Lotad          
Ninetales Lv13           HP 207 ATK 85  DEF 39  SPATK 75  SPDEF 60  SPEED 39 
Gabite Lv13              HP 55  ATK 72  DEF 36  SPATK 79  SPDEF 55  SPEED 113

Set #151 - Reversal Mountain Grass/Cave (rate=1)
Combusken Lv31           HP 51  ATK 72  DEF 149 SPATK 16  SPDEF 22  SPEED 95 
Noctowl Lv31             HP 64  ATK 46  DEF 113 SPATK 83  SPDEF 30  SPEED 106
Hariyama Lv32            HP 78  ATK 34  DEF 84  SPATK 114 SPDEF 108 SPEED 54 
Hitmonchan Lv33          HP 77  ATK 78  DEF 91  SPATK 18  SPDEF 122 SPEED 69 
Pidgeotto Lv32           HP 94  ATK 73  DEF 43  SPATK 41  SPDEF 79  SPEED 20 
Woobat Lv33              HP 80  ATK 12  DEF 33  SPATK 86  SPDEF 26  SPEED 76 
Seadra Lv34              HP 121 ATK 49  DEF 75  SPATK 101 SPDEF 27  SPEED 67 
Latios Lv33              HP 91  ATK 121 DEF 115 SPATK 122 SPDEF 132 SPEED 20 
Wormadam-T Lv34          HP 29  ATK 38  DEF 64  SPATK 133 SPDEF 48  SPEED 113
Ampharos Lv33            HP 39  ATK 67  DEF 96  SPATK 61  SPDEF 87  SPEED 150
Raichu Lv34              HP 36  ATK 102 DEF 131 SPATK 20  SPDEF 152 SPEED 34 
Salamence Lv33           HP 30  ATK 182 DEF 77  SPATK 66  SPDEF 16  SPEED 229

Set #152 - Reversal Mountain Doubles Grass (rate=4)
Azumarill Lv35           HP 110 ATK 40  DEF 36  SPATK 112 SPDEF 24  SPEED 88 
Aron Lv35                HP 73  ATK 13  DEF 68  SPATK 65  SPDEF 36  SPEED 75 
Marowak Lv36             HP 123 ATK 66  DEF 94  SPATK 25  SPDEF 102 SPEED 15 
Archeops Lv37            HP 100 ATK 119 DEF 104 SPATK 86  SPDEF 45  SPEED 113
Tangrowth Lv36           HP 91  ATK 96  DEF 55  SPATK 237 SPDEF 20  SPEED 35 
Smeargle Lv37            HP 47  ATK 54  DEF 50  SPATK 42  SPDEF 22  SPEED 34 
Braviary Lv38            HP 122 ATK 101 DEF 57  SPATK 114 SPDEF 38  SPEED 79 
Drifloon Lv37            HP 112 ATK 70  DEF 13  SPATK 28  SPDEF 100 SPEED 25 
Exeggutor Lv38           HP 39  ATK 23  DEF 104 SPATK 132 SPDEF 137 SPEED 86 
Tepig Lv37               HP 32  ATK 91  DEF 11  SPATK 18  SPDEF 93  SPEED 63 
Scyther Lv38             HP 99  ATK 104 DEF 23  SPATK 24  SPDEF 216 SPEED 33 
Darkrai Lv37             HP 158 ATK 63  DEF 134 SPATK 106 SPDEF 90  SPEED 50 

Set #153 - Reversal Mountain Shaking Spots (rate=1)
Leavanny Lv31            HP 112 ATK 94  DEF 130 SPATK 23  SPDEF 43  SPEED 88 
Snubbull Lv31            HP 51  ATK 54  DEF 51  SPATK 56  SPDEF 11  SPEED 77 
Alomomola Lv32           HP 27  ATK 59  DEF 140 SPATK 63  SPDEF 67  SPEED 114
Girafarig Lv32           HP 117 ATK 64  DEF 40  SPATK 65  SPDEF 57  SPEED 112
Nidoran♀ Lv33            HP 60  ATK 17  DEF 34  SPATK 56  SPDEF 53  SPEED 54 
Scizor Lv33              HP 29  ATK 44  DEF 156 SPATK 143 SPDEF 50  SPEED 79 
Shellder Lv34            HP 52  ATK 51  DEF 51  SPATK 28  SPDEF 74  SPEED 49 
Glalie Lv34              HP 72  ATK 90  DEF 140 SPATK 62  SPDEF 99  SPEED 16 
Swadloon Lv34            HP 30  ATK 51  DEF 73  SPATK 46  SPDEF 66  SPEED 114
Metang Lv34              HP 119 ATK 71  DEF 50  SPATK 67  SPDEF 37  SPEED 77 
Tangela Lv34             HP 70  ATK 48  DEF 93  SPATK 78  SPDEF 76  SPEED 71 
Houndour Lv34            HP 44  ATK 90  DEF 32  SPATK 47  SPDEF 93  SPEED 24 

Set #154 - Reversal Mountain Grass/Cave (rate=7)
Golbat Lv31              HP 43  ATK 13  DEF 124 SPATK 61  SPDEF 82  SPEED 132
Togetic Lv32             HP 92  ATK 114 DEF 38  SPATK 104 SPDEF 17  SPEED 40 
Cresselia Lv32           HP 57  ATK 22  DEF 149 SPATK 189 SPDEF 46  SPEED 137
Dragonite Lv33           HP 76  ATK 145 DEF 170 SPATK 17  SPDEF 90  SPEED 101
Deoxys-S Lv34            HP 75  ATK 109 DEF 123 SPATK 65  SPDEF 103 SPEED 125
Flygon Lv34              HP 113 ATK 55  DEF 68  SPATK 109 SPDEF 76  SPEED 99 
Gulpin Lv35              HP 66  ATK 55  DEF 30  SPATK 52  SPDEF 76  SPEED 23 
Gligar Lv35              HP 106 ATK 69  DEF 119 SPATK 21  SPDEF 64  SPEED 51 
Magmar Lv35              HP 29  ATK 107 DEF 66  SPATK 91  SPDEF 110 SPEED 93 
Golem Lv35               HP 50  ATK 143 DEF 17  SPATK 28  SPDEF 146 SPEED 99 
Pidgeotto Lv35           HP 94  ATK 73  DEF 43  SPATK 41  SPDEF 79  SPEED 20 
Skiploom Lv35            HP 118 ATK 20  DEF 81  SPATK 37  SPDEF 31  SPEED 53 

Set #155 - Reversal Mountain Shaking Spots (rate=1)
Azelf Lv32               HP 70  ATK 56  DEF 17  SPATK 144 SPDEF 142 SPEED 150
Cyndaquil Lv32           HP 43  ATK 87  DEF 57  SPATK 89  SPDEF 13  SPEED 20 
Shieldon Lv33            HP 69  ATK 60  DEF 17  SPATK 68  SPDEF 102 SPEED 34 
Rufflet Lv33             HP 84  ATK 69  DEF 39  SPATK 78  SPDEF 26  SPEED 54 
Vileplume Lv34           HP 70  ATK 53  DEF 92  SPATK 57  SPDEF 133 SPEED 75 
Chatot Lv34              HP 69  ATK 90  DEF 69  SPATK 44  SPDEF 65  SPEED 73 
Sudowoodo Lv35           HP 38  ATK 11  DEF 111 SPATK 56  SPDEF 74  SPEED 120
Huntail Lv35             HP 27  ATK 101 DEF 92  SPATK 110 SPDEF 64  SPEED 91 
Virizion Lv35            HP 115 ATK 85  DEF 20  SPATK 162 SPDEF 116 SPEED 82 
Sealeo Lv35              HP 85  ATK 68  DEF 86  SPATK 14  SPDEF 95  SPEED 62 
Weavile Lv35             HP 115 ATK 107 DEF 51  SPATK 43  SPDEF 99  SPEED 95 
Wailmer Lv35             HP 73  ATK 82  DEF 104 SPATK 88  SPDEF 34  SPEED 19 

Set #156 - Reversal Mountain Grass/Cave (rate=7)
Zubat Lv35               HP 37  ATK 52  DEF 44  SPATK 20  SPDEF 50  SPEED 42 
Cobalion Lv32            HP 35  ATK 185 DEF 69  SPATK 73  SPDEF 51  SPEED 166
Darmanitan Lv32          HP 95  ATK 71  DEF 29  SPATK 105 SPDEF 82  SPEED 99 
Politoed Lv33            HP 81  ATK 90  DEF 83  SPATK 41  SPDEF 98  SPEED 107
Metapod Lv34             HP 30  ATK 18  DEF 49  SPATK 29  SPDEF 45  SPEED 34 
Zangoose Lv34            HP 144 ATK 57  DEF 110 SPATK 62  SPDEF 62  SPEED 23 
Pignite Lv31             HP 43  ATK 123 DEF 15  SPATK 25  SPDEF 126 SPEED 86 
Dewott Lv35              HP 28  ATK 82  DEF 93  SPATK 98  SPDEF 99  SPEED 13 
Snorlax Lv35             HP 97  ATK 68  DEF 143 SPATK 37  SPDEF 100 SPEED 96 
Deoxys-A Lv35            HP 150 ATK 112 DEF 113 SPATK 48  SPDEF 19  SPEED 158
Dusknoir Lv35            HP 101 ATK 109 DEF 99  SPATK 72  SPDEF 88  SPEED 56 
Pidgeot Lv35             HP 127 ATK 98  DEF 58  SPATK 55  SPDEF 106 SPEED 27 

Set #157 - Reversal Mountain Shaking Spots (rate=1)
Treecko Lv32             HP 70  ATK 65  DEF 31  SPATK 26  SPDEF 60  SPEED 58 
Carvanha Lv32            HP 67  ATK 12  DEF 63  SPATK 60  SPDEF 33  SPEED 69 
Floatzel Lv33            HP 67  ATK 148 DEF 44  SPATK 114 SPDEF 35  SPEED 87 
Gastrodon Lv33           HP 79  ATK 117 DEF 56  SPATK 85  SPDEF 99  SPEED 39 
Swoobat Lv34             HP 62  ATK 37  DEF 102 SPATK 60  SPDEF 93  SPEED 70 
Throh Lv34               HP 69  ATK 74  DEF 78  SPATK 107 SPDEF 93  SPEED 44 
Riolu Lv35               HP 41  ATK 11  DEF 39  SPATK 25  SPDEF 94  SPEED 76 
Stantler Lv35            HP 101 ATK 40  DEF 71  SPATK 36  SPDEF 107 SPEED 109
Beartic Lv35             HP 197 ATK 19  DEF 19  SPATK 83  SPDEF 143 SPEED 24 
Linoone Lv35             HP 55  ATK 89  DEF 124 SPATK 23  SPDEF 89  SPEED 40 
Ariados Lv35             HP 100 ATK 86  DEF 80  SPATK 28  SPDEF 64  SPEED 31 
Growlithe Lv35           HP 101 ATK 42  DEF 19  SPATK 12  SPDEF 85  SPEED 91 

Set #158 - Reversal Mountain Grass/Cave (rate=7)
Poliwhirl Lv31           HP 119 ATK 24  DEF 82  SPATK 52  SPDEF 36  SPEED 72 
Foongus Lv32             HP 64  ATK 36  DEF 51  SPATK 33  SPDEF 48  SPEED 61 
Dunsparce Lv32           HP 104 ATK 94  DEF 90  SPATK 51  SPDEF 21  SPEED 55 
Hitmonlee Lv33           HP 87  ATK 82  DEF 67  SPATK 82  SPDEF 44  SPEED 93 
Frillish Lv34            HP 80  ATK 79  DEF 60  SPATK 71  SPDEF 20  SPEED 25 
Treecko Lv34             HP 70  ATK 65  DEF 31  SPATK 26  SPDEF 60  SPEED 58 
Shelmet Lv35             HP 46  ATK 89  DEF 55  SPATK 12  SPDEF 58  SPEED 44 
Glalie Lv35              HP 72  ATK 90  DEF 140 SPATK 62  SPDEF 99  SPEED 16 
Weepinbell Lv35          HP 101 ATK 23  DEF 80  SPATK 71  SPDEF 44  SPEED 71 
Chandelure Lv35          HP 175 ATK 22  DEF 35  SPATK 67  SPDEF 93  SPEED 128
Palpitoad Lv35           HP 69  ATK 109 DEF 70  SPATK 25  SPDEF 50  SPEED 62 
Prinplup Lv35            HP 80  ATK 60  DEF 24  SPATK 88  SPDEF 69  SPEED 83 

Set #159 - Reversal Mountain Shaking Spots (rate=1)
Rotom-Fr Lv32            HP 87  ATK 113 DEF 70  SPATK 77  SPDEF 57  SPEED 115
Turtwig Lv32             HP 82  ATK 18  DEF 38  SPATK 66  SPDEF 36  SPEED 78 
Illumise Lv33            HP 73  ATK 74  DEF 72  SPATK 45  SPDEF 96  SPEED 41 
Thundurus-T Lv33         HP 177 ATK 30  DEF 43  SPATK 174 SPDEF 61  SPEED 95 
Torchic Lv34             HP 96  ATK 86  DEF 38  SPATK 39  SPDEF 21  SPEED 31 
Politoed Lv34            HP 81  ATK 90  DEF 83  SPATK 41  SPDEF 98  SPEED 107
Tornadus-T Lv35          HP 171 ATK 13  DEF 27  SPATK 135 SPDEF 157 SPEED 76 
Dugtrio Lv35             HP 40  ATK 55  DEF 63  SPATK 84  SPDEF 70  SPEED 94 
Ampharos Lv35            HP 39  ATK 67  DEF 96  SPATK 61  SPDEF 87  SPEED 150
Vullaby Lv35             HP 45  ATK 36  DEF 11  SPATK 92  SPDEF 91  SPEED 96 
Maractus Lv35            HP 88  ATK 55  DEF 100 SPATK 109 SPDEF 33  SPEED 76 
Aggron Lv35              HP 117 ATK 21  DEF 110 SPATK 105 SPDEF 58  SPEED 120

Set #160 - Reversal Mountain Grass/Cave (rate=7)
Feebas Lv31              HP 63  ATK 25  DEF 48  SPATK 27  SPDEF 27  SPEED 10 
Weavile Lv32             HP 115 ATK 107 DEF 51  SPATK 43  SPDEF 99  SPEED 95 
Shinx Lv32               HP 78  ATK 17  DEF 53  SPATK 52  SPDEF 11  SPEED 52 
Vileplume Lv33           HP 70  ATK 53  DEF 92  SPATK 57  SPDEF 133 SPEED 75 
Manaphy Lv34             HP 52  ATK 103 DEF 154 SPATK 132 SPDEF 62  SPEED 98 
Larvesta Lv34            HP 61  ATK 99  DEF 40  SPATK 82  SPDEF 23  SPEED 55 
Seadra Lv35              HP 121 ATK 49  DEF 75  SPATK 101 SPDEF 27  SPEED 67 
Minccino Lv35            HP 39  ATK 25  DEF 90  SPATK 64  SPDEF 34  SPEED 48 
Wartortle Lv35           HP 68  ATK 114 DEF 81  SPATK 32  SPDEF 48  SPEED 62 
Machop Lv35              HP 44  ATK 52  DEF 49  SPATK 56  SPDEF 54  SPEED 50 
Spiritomb Lv35           HP 86  ATK 63  DEF 119 SPATK 149 SPDEF 54  SPEED 14 
Lucario Lv35             HP 111 ATK 130 DEF 94  SPATK 65  SPDEF 58  SPEED 66 

Set #161 - Reversal Mountain Shaking Spots (rate=1)
Silcoon Lv32             HP 36  ATK 48  DEF 17  SPATK 43  SPDEF 13  SPEED 47 
Serperior Lv32           HP 80  ATK 70  DEF 93  SPATK 87  SPDEF 133 SPEED 65 
Panpour Lv33             HP 79  ATK 19  DEF 67  SPATK 63  SPDEF 56  SPEED 31 
Teddiursa Lv33           HP 56  ATK 59  DEF 77  SPATK 86  SPDEF 28  SPEED 25 
Ninetales Lv34           HP 207 ATK 85  DEF 39  SPATK 75  SPDEF 60  SPEED 39 
Oddish Lv34              HP 89  ATK 85  DEF 33  SPATK 69  SPDEF 15  SPEED 29 
Frillish Lv35            HP 80  ATK 79  DEF 60  SPATK 71  SPDEF 20  SPEED 25 
Escavalier Lv35          HP 114 ATK 115 DEF 101 SPATK 72  SPDEF 16  SPEED 78 
Flareon Lv35             HP 193 ATK 107 DEF 63  SPATK 82  SPDEF 39  SPEED 42 
Staraptor Lv35           HP 100 ATK 20  DEF 114 SPATK 46  SPDEF 91  SPEED 104
Bidoof Lv35              HP 91  ATK 51  DEF 30  SPATK 39  SPDEF 18  SPEED 20 
Pidgey Lv35              HP 35  ATK 71  DEF 46  SPATK 72  SPDEF 11  SPEED 16 

Set #162 - Reversal Mountain Grass/Cave (rate=7)
Stunfisk Lv31            HP 79  ATK 103 DEF 60  SPATK 139 SPDEF 28  SPEED 63 
Lairon Lv32              HP 59  ATK 106 DEF 111 SPATK 94  SPDEF 28  SPEED 31 
Bonsly Lv32              HP 23  ATK 64  DEF 69  SPATK 14  SPDEF 58  SPEED 62 
Stoutland Lv33           HP 87  ATK 62  DEF 86  SPATK 102 SPDEF 80  SPEED 73 
Garbodor Lv34            HP 38  ATK 105 DEF 113 SPATK 23  SPDEF 95  SPEED 101
Mamoswine Lv34           HP 47  ATK 91  DEF 124 SPATK 91  SPDEF 97  SPEED 81 
Remoraid Lv35            HP 26  ATK 90  DEF 14  SPATK 42  SPDEF 52  SPEED 77 
Bronzong Lv35            HP 101 ATK 84  DEF 88  SPATK 115 SPDEF 74  SPEED 38 
Jynx Lv35                HP 139 ATK 137 DEF 16  SPATK 13  SPDEF 58  SPEED 91 
Mothim Lv35              HP 111 ATK 62  DEF 40  SPATK 69  SPDEF 58  SPEED 83 
Landorus-T Lv35          HP 184 ATK 81  DEF 172 SPATK 74  SPDEF 73  SPEED 16 
Muk Lv35                 HP 117 ATK 88  DEF 74  SPATK 91  SPDEF 69  SPEED 60 

Set #163 - Reversal Mountain Shaking Spots (rate=1)
Nincada Lv32             HP 84  ATK 33  DEF 64  SPATK 36  SPDEF 36  SPEED 13 
Togekiss Lv32            HP 71  ATK 45  DEF 164 SPATK 116 SPDEF 62  SPEED 87 
Milotic Lv33             HP 164 ATK 111 DEF 95  SPATK 17  SPDEF 46  SPEED 107
Regice Lv33              HP 99  ATK 97  DEF 97  SPATK 53  SPDEF 141 SPEED 93 
Durant Lv34              HP 98  ATK 210 DEF 57  SPATK 63  SPDEF 29  SPEED 26 
Musharna Lv34            HP 68  ATK 134 DEF 42  SPATK 72  SPDEF 117 SPEED 55 
Drifloon Lv35            HP 112 ATK 70  DEF 13  SPATK 28  SPDEF 100 SPEED 25 
Kirlia Lv35              HP 76  ATK 49  DEF 54  SPATK 39  SPDEF 22  SPEED 38 
Castform-I Lv35          HP 34  ATK 94  DEF 29  SPATK 97  SPDEF 52  SPEED 114
Tentacool Lv35           HP 27  ATK 114 DEF 27  SPATK 35  SPDEF 50  SPEED 82 
Scyther Lv35             HP 99  ATK 104 DEF 23  SPATK 24  SPDEF 216 SPEED 33 
Rapidash Lv35            HP 84  ATK 116 DEF 34  SPATK 135 SPDEF 46  SPEED 84 

Set #164 - Reversal Mountain Grass/Cave (rate=7)
Kyurem Lv31              HP 42  ATK 100 DEF 215 SPATK 103 SPDEF 125 SPEED 74 
Victini Lv32             HP 115 ATK 28  DEF 38  SPATK 122 SPDEF 127 SPEED 170
Pansage Lv32             HP 130 ATK 53  DEF 24  SPATK 47  SPDEF 37  SPEED 25 
Clefable Lv33            HP 86  ATK 54  DEF 123 SPATK 39  SPDEF 138 SPEED 33 
Teddiursa Lv34           HP 56  ATK 59  DEF 77  SPATK 86  SPDEF 28  SPEED 25 
Victreebel Lv34          HP 33  ATK 95  DEF 108 SPATK 114 SPDEF 115 SPEED 15 
Deerling Lv35            HP 51  ATK 98  DEF 61  SPATK 13  SPDEF 64  SPEED 49 
Pinsir Lv35              HP 43  ATK 82  DEF 156 SPATK 115 SPDEF 45  SPEED 59 
Granbull Lv35            HP 53  ATK 96  DEF 125 SPATK 27  SPDEF 68  SPEED 82 
Poochyena Lv35           HP 60  ATK 39  DEF 26  SPATK 46  SPDEF 34  SPEED 15 
Lickitung Lv35           HP 78  ATK 65  DEF 68  SPATK 89  SPDEF 57  SPEED 29 
Arbok Lv35               HP 71  ATK 117 DEF 29  SPATK 78  SPDEF 108 SPEED 36 

Set #165 - Reversal Mountain Shaking Spots (rate=1)
Palpitoad Lv32           HP 69  ATK 109 DEF 70  SPATK 25  SPDEF 50  SPEED 62 
Nidorino Lv32            HP 77  ATK 15  DEF 87  SPATK 35  SPDEF 70  SPEED 80 
Bibarel Lv33             HP 117 ATK 58  DEF 73  SPATK 104 SPDEF 22  SPEED 37 
Tentacruel Lv33          HP 41  ATK 175 DEF 41  SPATK 54  SPDEF 76  SPEED 126
Registeel Lv34           HP 121 ATK 15  DEF 105 SPATK 74  SPDEF 127 SPEED 137
Pidgeotto Lv34           HP 94  ATK 73  DEF 43  SPATK 41  SPDEF 79  SPEED 20 
Meowth Lv35              HP 68  ATK 51  DEF 43  SPATK 53  SPDEF 40  SPEED 35 
Yanma Lv35               HP 53  ATK 28  DEF 28  SPATK 89  SPDEF 37  SPEED 156
Jolteon Lv35             HP 56  ATK 86  DEF 99  SPATK 76  SPDEF 137 SPEED 71 
Lampent Lv35             HP 29  ATK 50  DEF 71  SPATK 45  SPDEF 64  SPEED 111
Darkrai Lv35             HP 158 ATK 63  DEF 134 SPATK 106 SPDEF 90  SPEED 50 
Roggenrola Lv35          HP 75  ATK 13  DEF 76  SPATK 15  SPDEF 15  SPEED 85 

Set #166 - Reversal Mountain Grass/Cave (rate=7)
Klink Lv31               HP 65  ATK 32  DEF 39  SPATK 63  SPDEF 44  SPEED 57 
Wynaut Lv32              HP 36  ATK 59  DEF 48  SPATK 37  SPDEF 21  SPEED 59 
Deoxys-S Lv32            HP 75  ATK 109 DEF 123 SPATK 65  SPDEF 103 SPEED 125
Skarmory Lv33            HP 81  ATK 70  DEF 71  SPATK 68  SPDEF 141 SPEED 34 
Mr. Mime Lv34            HP 87  ATK 81  DEF 71  SPATK 80  SPDEF 81  SPEED 60 
Solosis Lv34             HP 72  ATK 31  DEF 63  SPATK 70  SPDEF 38  SPEED 17 
Porygon2 Lv35            HP 91  ATK 108 DEF 94  SPATK 78  SPDEF 41  SPEED 102
Axew Lv35                HP 42  ATK 84  DEF 88  SPATK 27  SPDEF 58  SPEED 21 
Clamperl Lv35            HP 27  ATK 87  DEF 38  SPATK 51  SPDEF 31  SPEED 112
Dragonair Lv35           HP 109 ATK 64  DEF 90  SPATK 44  SPDEF 95  SPEED 19 
Mightyena Lv35           HP 73  ATK 102 DEF 30  SPATK 50  SPDEF 88  SPEED 77 
Golbat Lv35              HP 43  ATK 13  DEF 124 SPATK 61  SPDEF 82  SPEED 132

Set #167 - Reversal Mountain Shaking Spots (rate=1)
Suicune Lv32             HP 149 ATK 61  DEF 87  SPATK 215 SPDEF 31  SPEED 37 
Jynx Lv32                HP 139 ATK 137 DEF 16  SPATK 13  SPDEF 58  SPEED 91 
Porygon Lv33             HP 59  ATK 63  DEF 66  SPATK 91  SPDEF 79  SPEED 37 
Omanyte Lv33             HP 71  ATK 101 DEF 30  SPATK 23  SPDEF 74  SPEED 57 
Drifloon Lv34            HP 112 ATK 70  DEF 13  SPATK 28  SPDEF 100 SPEED 25 
Glalie Lv34              HP 72  ATK 90  DEF 140 SPATK 62  SPDEF 99  SPEED 16 
Sceptile Lv35            HP 43  ATK 12  DEF 132 SPATK 115 SPDEF 75  SPEED 153
Reshiram Lv35            HP 210 ATK 97  DEF 50  SPATK 97  SPDEF 107 SPEED 120
Meloetta-P Lv35          HP 101 ATK 41  DEF 239 SPATK 82  SPDEF 93  SPEED 43 
Marshtomp Lv35           HP 91  ATK 84  DEF 78  SPATK 50  SPDEF 53  SPEED 50 
Sawsbuck Lv35            HP 141 ATK 13  DEF 11  SPATK 13  SPDEF 173 SPEED 124
Regigigas Lv35           HP 226 ATK 45  DEF 45  SPATK 145 SPDEF 33  SPEED 174

Set #168 - Reversal Mountain Grass/Cave (rate=7)
Tyranitar Lv35           HP 132 ATK 82  DEF 127 SPATK 151 SPDEF 68  SPEED 40 
Venonat Lv32             HP 73  ATK 72  DEF 55  SPATK 65  SPDEF 18  SPEED 23 
Ho-Oh Lv32               HP 50  ATK 182 DEF 52  SPATK 213 SPDEF 54  SPEED 128
Durant Lv33              HP 98  ATK 210 DEF 57  SPATK 63  SPDEF 29  SPEED 26 
Beautifly Lv34           HP 45  ATK 28  DEF 125 SPATK 82  SPDEF 59  SPEED 45 
Audino Lv34              HP 120 ATK 77  DEF 44  SPATK 18  SPDEF 43  SPEED 143
Pidgey Lv31              HP 35  ATK 71  DEF 46  SPATK 72  SPDEF 11  SPEED 16 
Roselia Lv35             HP 82  ATK 52  DEF 74  SPATK 87  SPDEF 67  SPEED 38 
Altaria Lv35             HP 40  ATK 86  DEF 115 SPATK 41  SPDEF 78  SPEED 129
Alomomola Lv35           HP 27  ATK 59  DEF 140 SPATK 63  SPDEF 67  SPEED 114
Zangoose Lv35            HP 144 ATK 57  DEF 110 SPATK 62  SPDEF 62  SPEED 23 
Houndour Lv35            HP 44  ATK 90  DEF 32  SPATK 47  SPDEF 93  SPEED 24 

Set #169 - Reversal Mountain Shaking Spots (rate=1)
Keldeo Lv32              HP 149 ATK 120 DEF 36  SPATK 69  SPDEF 92  SPEED 114
Golem Lv32               HP 50  ATK 143 DEF 17  SPATK 28  SPDEF 146 SPEED 99 
Quagsire Lv33            HP 117 ATK 76  DEF 51  SPATK 90  SPDEF 66  SPEED 29 
Corphish Lv33            HP 58  ATK 17  DEF 45  SPATK 67  SPDEF 60  SPEED 60 
Taillow Lv34             HP 61  ATK 56  DEF 52  SPATK 33  SPDEF 35  SPEED 33 
Slugma Lv34              HP 72  ATK 28  DEF 19  SPATK 49  SPDEF 63  SPEED 19 
Makuhita Lv35            HP 39  ATK 17  DEF 42  SPATK 57  SPDEF 54  SPEED 27 
Pineco Lv35              HP 63  ATK 36  DEF 50  SPATK 33  SPDEF 48  SPEED 60 
Vigoroth Lv35            HP 97  ATK 60  DEF 93  SPATK 111 SPDEF 50  SPEED 29 
Zangoose Lv35            HP 144 ATK 57  DEF 110 SPATK 62  SPDEF 62  SPEED 23 
Castform-I Lv35          HP 34  ATK 94  DEF 29  SPATK 97  SPDEF 52  SPEED 114
Dewott Lv35              HP 28  ATK 82  DEF 93  SPATK 98  SPDEF 99  SPEED 13 

Set #170 - Reversal Mountain Grass/Cave (rate=7)
Cascoon Lv31             HP 83  ATK 8   DEF 8   SPATK 35  SPDEF 60  SPEED 10 
Klinklang Lv32           HP 90  ATK 95  DEF 90  SPATK 24  SPDEF 196 SPEED 26 
Darumaka Lv32            HP 55  ATK 56  DEF 57  SPATK 25  SPDEF 50  SPEED 72 
Gloom Lv33               HP 161 ATK 31  DEF 17  SPATK 14  SPDEF 46  SPEED 126
Duskull Lv34             HP 78  ATK 45  DEF 38  SPATK 65  SPDEF 38  SPEED 32 
Thundurus Lv34           HP 218 ATK 123 DEF 92  SPATK 25  SPDEF 27  SPEED 96 
Luxio Lv35               HP 25  ATK 72  DEF 82  SPATK 86  SPDEF 87  SPEED 11 
Glaceon Lv35             HP 82  ATK 87  DEF 90  SPATK 50  SPDEF 148 SPEED 68 
Vespiquen Lv35           HP 140 ATK 31  DEF 96  SPATK 94  SPDEF 20  SPEED 94 
Raichu Lv35              HP 36  ATK 102 DEF 131 SPATK 20  SPDEF 152 SPEED 34 
Snorunt Lv35             HP 86  ATK 34  DEF 23  SPATK 59  SPDEF 76  SPEED 23 
Staraptor Lv35           HP 100 ATK 20  DEF 114 SPATK 46  SPDEF 91  SPEED 104

Set #171 - Reversal Mountain Shaking Spots (rate=1)
Volcarona Lv32           HP 59  ATK 31  DEF 122 SPATK 36  SPDEF 131 SPEED 171
Sawk Lv32                HP 77  ATK 44  DEF 105 SPATK 37  SPDEF 112 SPEED 90 
Simisear Lv33            HP 119 ATK 117 DEF 89  SPATK 106 SPDEF 30  SPEED 37 
Scraggy Lv33             HP 69  ATK 72  DEF 16  SPATK 17  SPDEF 150 SPEED 23 
Dodrio Lv34              HP 117 ATK 66  DEF 25  SPATK 79  SPDEF 103 SPEED 70 
Kangaskhan Lv34          HP 66  ATK 134 DEF 42  SPATK 76  SPDEF 128 SPEED 45 
Azumarill Lv35           HP 110 ATK 40  DEF 36  SPATK 112 SPDEF 24  SPEED 88 
Seedot Lv35              HP 38  ATK 40  DEF 38  SPATK 10  SPDEF 83  SPEED 11 
Deino Lv35               HP 28  ATK 18  DEF 84  SPATK 47  SPDEF 49  SPEED 74 
Mesprit Lv35             HP 107 ATK 77  DEF 67  SPATK 147 SPDEF 34  SPEED 148
Tynamo Lv35              HP 38  ATK 68  DEF 71  SPATK 60  SPDEF 18  SPEED 20 
Caterpie Lv35            HP 29  ATK 40  DEF 25  SPATK 34  SPDEF 23  SPEED 44 

Set #172 - Reversal Mountain Grass/Cave (rate=7)
Karrablast Lv31          HP 49  ATK 52  DEF 54  SPATK 30  SPDEF 89  SPEED 41 
Cinccino Lv32            HP 35  ATK 21  DEF 90  SPATK 133 SPDEF 103 SPEED 89 
Vanillish Lv32           HP 77  ATK 54  DEF 110 SPATK 29  SPDEF 89  SPEED 36 
Makuhita Lv33            HP 39  ATK 17  DEF 42  SPATK 57  SPDEF 54  SPEED 27 
Chansey Lv34             HP 88  ATK 113 DEF 43  SPATK 13  SPDEF 161 SPEED 32 
Scolipede Lv34           HP 121 ATK 108 DEF 48  SPATK 71  SPDEF 63  SPEED 63 
Grumpig Lv35             HP 54  ATK 113 DEF 41  SPATK 48  SPDEF 116 SPEED 97 
Stoutland Lv35           HP 87  ATK 62  DEF 86  SPATK 102 SPDEF 80  SPEED 73 
Basculin Lv35            HP 75  ATK 57  DEF 40  SPATK 104 SPDEF 97  SPEED 86 
Bellossom Lv35           HP 96  ATK 85  DEF 28  SPATK 100 SPDEF 86  SPEED 85 
Spinarak Lv35            HP 64  ATK 55  DEF 51  SPATK 18  SPDEF 41  SPEED 20 
Timburr Lv35             HP 61  ATK 54  DEF 18  SPATK 64  SPDEF 55  SPEED 54 

